,isMalware,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
15,0,7,7,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,7,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
16,0,10,10,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,10,1,0,0,1,0,2,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1
17,0,10,10,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,10,0,0,0,1,0,2,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0
18,0,4,4,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,4,1,0,1,0,0,2,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
19,0,6,6,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,6,0,0,0,0,0,2,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0
20,0,5,5,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,5,1,0,0,1,0,2,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0
21,1,7,7,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,7,1,0,0,0,0,2,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1
22,0,12,12,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,12,1,0,0,1,0,2,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1
23,0,8,8,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,8,1,0,1,1,0,2,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0
24,0,12,12,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,12,1,0,0,1,0,2,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1
25,0,5,5,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,5,1,1,0,1,0,2,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1
26,0,5,5,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,5,1,0,0,1,0,2,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0
27,0,7,7,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,7,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0
28,0,10,10,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,10,1,0,0,1,0,2,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1
29,0,10,10,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,10,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1
30,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
31,1,2,2,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
